   1     1  1234567890                                                                                                      
   2    11  1234567890                                                                                                      =
   3    21  1234567890                                                                                                      =
   4    31  1234567890                                                                                                      =
   5    41  1234567890                                                                                                      =
   6    51  1234567890                                                                                                      =
   7    61  1234567890                                                                                                      =
   8    71  1234567890                                                                                                      =
   9    81  1234567890                                                                                                      =
  10    91  1234567890                                                                                                      =
  11   101  1234567890                                                                                                      =
  12   111  1234567890                                                                                                      =
  13   121  1234567890                                                                                                      =
  14   131  1234567890                                                                                                      =
  15   141  1234567890                                                                                                      =
  16   151  1234567890                                                                                                      =
  17   161  2143658790                                                                                                      9
  18   171  1246385970                                                                                                      3
  19   181  1423658790                                                                                                      1
  20   191  4126385970                                                                                                      3
  21   201  4213658790                                                                                                      1
  22   211  2416385970                                                                                                      3
  23   221  4261835970                                                                                                      789
  24   231  2468153790                                                                                                      3
  25   241  2641835970                                                                                                      1
  26   251  6248153790                                                                                                      3
  27   261  6421835970                                                                                                      1
  28   271  4628153790                                                                                                      3
  29   281  6482517390                                                                                                      9
  30   291  4685271930                                                                                                      3
  31   301  4862517390                                                                                                      1
  32   311  8465271930                                                                                                      3
  33   321  8642517390                                                                                                      1
  34   331  6845271930                                                                                                      3
  35   341  8654729130                                                                                                      9
  36   351  6857492310                                                                                                      3
  37   361  6584729130                                                                                                      1
  38   371  5687492310                                                                                                      3
  39   381  5864729130                                                                                                      1
  40   391  8567492310                                                                                                      3
  41   401  5876942130                                                                                                      7
  42   411  8579624310                                                                                                      3
  43   421  8756942130                                                                                                      1
  44   431  7859624310                                                                                                      3
  45   441  7586942130                                                                                                      1
  46   451  5789624310                                                                                                      3
  47   461  7598263410                                                                                                      9
  48   471  5792836140                                                                                                      3
  49   481  5978263410                                                                                                      1
  50   491  9572836140                                                                                                      3
  51   501  9758263410                                                                                                      1
  52   511  7952836140                                                                                                      3
  53   521  9725381640                                                                                                      9
  54   531  7923518460                                                                                                      3
  55   541  7295381640                                                                                                      1
  56   551  2793518460                                                                                                      3
  57   561  2975381640                                                                                                      1
  58   571  9273518460                                                                                                      3
  59   581  2937158460                                                                                                      789
  60   591  9231785640                                                                                                      3
  61   601  9327158460                                                                                                      1
  62   611  3921785640                                                                                                      3
  63   621  3297158460                                                                                                      1
  64   631  2391785640                                                                                                      3
  65   641  3219876540                                                                                                      9
  66   651  2318967450                                                                                                      3
  67   661  2139876540                                                                                                      1
  68   671  1238967450                                                                                                      3
  69   681  1329876540                                                                                                      1
  70   691  3128967450                                                                                                      3
  71   701  1382697540                                                                                                      7
  72   711  3186279450                                                                                                      3
  73   721  3812697540                                                                                                      1
  74   731  8316279450                                                                                                      3
  75   741  8132697540                                                                                                      1
  76   751  1836279450                                                                                                      3
  77   761  8163729540                                                                                                      7
  78   771  1867392450                                                                                                      3
  79   781  1683729540                                                                                                      1
  80   791  6187392450                                                                                                      3
  81   801  6813729540                                                                                                      1
  82   811  8617392450                                                                                                      3
  83   821  6871932540                                                                                                      7
  84   831  8679123450                                                                                                      3
  85   841  8761932540                                                                                                      1
  86   851  7869123450                                                                                                      3
  87   861  7681932540                                                                                                      1
  88   871  6789123450                                                                                                      3
  89   881  7698214350                                                                                                      9
  90   891  6792841530                                                                                                      3
  91   901  6978214350                                                                                                      1
  92   911  9672841530                                                                                                      3
  93   921  9768214350                                                                                                      1
  94   931  7962841530                                                                                                      3
  95   941  9726485130                                                                                                      9
  96   951  7924658310                                                                                                      3
  97   961  7296485130                                                                                                      1
  98   971  2794658310                                                                                                      3
  99   981  2976485130                                                                                                      1
 100   991  9274658310                                                                                                      3
 101  1001  2947563810                                                                                                      9
 102  1011  9245736180                                                                                                      3
 103  1021  9427563810                                                                                                      1
 104  1031  4925736180                                                                                                      3
 105  1041  4297563810                                                                                                      1
 106  1051  2495736180                                                                                                      3
 107  1061  4259371680                                                                                                      9
 108  1071  2453917860                                                                                                      3
 109  1081  2549371680                                                                                                      1
 110  1091  5243917860                                                                                                      3
 111  1101  5429371680                                                                                                      1
 112  1111  4523917860                                                                                                      3
 113  1121  5432198760                                                                                                      9
 114  1131  4531289670                                                                                                      3
 115  1141  4352198760                                                                                                      1
 116  1151  3451289670                                                                                                      3
