   1     1  1234567890ET                                                                                                                                                  
   2    13  1234569780ET                                                                                                                                                  ?(798)
   3    25  1234567890ET                                                                                                                                                  ?(789)
   4    37  1234567890ET                                                                                                                                                  =
   5    49  1234567890ET                                                                                                                                                  =
   6    61  1234567890ET                                                                                                                                                  =
   7    73  1234567890ET                                                                                                                                                  =
   8    85  1234567890ET                                                                                                                                                  =
   9    97  1234567890ET                                                                                                                                                  =
  10   109  1234567890ET                                                                                                                                                  =
  11   121  1234567890ET                                                                                                                                                  =
  12   133  1234567890ET                                                                                                                                                  =
  13   145  1234567890ET                                                                                                                                                  =
  14   157  1234567890ET                                                                                                                                                  =
  15   169  1234567890ET                                                                                                                                                  =
  16   181  1234567890ET                                                                                                                                                  =
  17   193  2143658709TE                                                                                                                                                  -
  18   205  241638507T9E                                                                                                                                                  1
  19   217  42618305T7E9                                                                                                                                                  -
  20   229  462318507T9E                                                                                                                                                  ?
  21   241  64128305T7E9                                                                                                                                                  ?
  22   253  6148203T5E79                                                                                                                                                  1
  23   265  168402T3E597                                                                                                                                                  -
  24   277  1648203T5E79                                                                                                                                                  2
  25   289  6184023TE597                                                                                                                                                  78
  26   301  68104T2E3957                                                                                                                                                  ?
  27   313  8601T4E29375                                                                                                                                                  -
  28   325  80614T2E3957                                                                                                                                                  4
  29   337  0816T4E29375                                                                                                                                                  -
  30   349  018T6E492735                                                                                                                                                  1
  31   361  10T8E6947235                                                                                                                                                  E
  32   373  108T6E492735                                                                                                                                                  2E
  33   385  01T8E6947253                                                                                                                                                  -
  34   397  0T1E89674523                                                                                                                                                  1
  35   409  T0E198765432                                                                                                                                                  -
  36   421  TE0189674523                                                                                                                                                  4
  37   433  ET1098765432                                                                                                                                                  -
  38   445  E1T907856342                                                                                                                                                  1
  39   457  1E9T70583624                                                                                                                                                  -
  40   469  1ET907856342                                                                                                                                                  2
  41   481  E19T70583624                                                                                                                                                  -
  42   493  E917T5038264                                                                                                                                                  1
  43   505  9E715T302846                                                                                                                                                  -
  44   517  97E1T5038264                                                                                                                                                  4
  45   529  791E53T02846                                                                                                                                                  ?
  46   541  7195E3T20486                                                                                                                                                  67
  47   553  17593E2T4068                                                                                                                                                  -
  48   565  1795E3T20486                                                                                                                                                  2
  49   577  7159E32T4068                                                                                                                                                  56
  50   589  753192E4T608                                                                                                                                                  ?
  51   601  5371249E6T80                                                                                                                                                  ?
  52   613  53719E24T608                                                                                                                                                  ?
  53   625  3517294E6T80                                                                                                                                                  ?
  54   637  31527496E8T0                                                                                                                                                  1
  55   649  132547698E0T                                                                                                                                                  -
  56   661  13527496E8T0                                                                                                                                                  2
  57   673  312547698E0T                                                                                                                                                  -
  58   685  3214567890ET                                                                                                                                                  1
  59   697  2341658709TE                                                                                                                                                  -
  60   709  2431567890ET                                                                                                                                                  4
  61   721  4216358709TE                                                                                                                                                  ?
  62   733  412638507T9E                                                                                                                                                  45
  63   745  14628305T7E9                                                                                                                                                  -
  64   757  142638507T9E                                                                                                                                                  2
  65   769  41628305T7E9                                                                                                                                                  -
  66   781  4618203T5E79                                                                                                                                                  1
  67   793  648102T3E597                                                                                                                                                  -
  68   805  6841203T5E79                                                                                                                                                  4
  69   817  861402T3E597                                                                                                                                                  -
  70   829  81604T2E3957                                                                                                                                                  1
  71   841  1806T4E29375                                                                                                                                                  -
  72   853  18604T2E3957                                                                                                                                                  2
  73   865  8106T4E29375                                                                                                                                                  -
  74   877  801T6E493275                                                                                                                                                  ?
  75   889  08TE16947235                                                                                                                                                  ?
  76   901  0T816E492735                                                                                                                                                  ?
  77   913  0T18E6947253                                                                                                                                                  2
  78   925  T10E89674523                                                                                                                                                  ?
  79   937  1TE098765432                                                                                                                                                  -
  80   949  1T0E89674523                                                                                                                                                  2
  81   961  T1E098765432                                                                                                                                                  -
  82   973  TE1907856342                                                                                                                                                  1
  83   985  ET9170583624                                                                                                                                                  -
  84   997  E9T107856342                                                                                                                                                  4
  85  1009  9E1T70583624                                                                                                                                                  -
  86  1021  91E7T5038264                                                                                                                                                  1
  87  1033  197E5T302846                                                                                                                                                  -
  88  1045  19E7T5038264                                                                                                                                                  2
  89  1057  917E53T02846                                                                                                                                                  ?
  90  1069  9715E3T20486                                                                                                                                                  67
  91  1081  79531E2T4068                                                                                                                                                  ?
  92  1093  7591E3T20486                                                                                                                                                  ?
  93  1105  57193E2T4068                                                                                                                                                  -
  94  1117  517392E4T608                                                                                                                                                  1
  95  1129  1537294E6T80                                                                                                                                                  -
  96  1141  157392E4T608                                                                                                                                                  2
  97  1153  5137294E6T80                                                                                                                                                  -
  98  1165  53127496E8T0                                                                                                                                                  1
  99  1177  352147698E0T                                                                                                                                                  -
 100  1189  32517496E8T0                                                                                                                                                  4
 101  1201  231547698E0T                                                                                                                                                  -
 102  1213  3214567890ET                                                                                                                                                  3
 103  1225  1324658709TE                                                                                                                                                  ?
 104  1237  1234567890ET                                                                                                                                                  4
 105  1249  1234567890ET                                                                                                                                                  =
 106  1261  1234567890ET                                                                                                                                                  =
 107  1273  1234567890ET                                                                                                                                                  =
 108  1285  1234567890ET                                                                                                                                                  =
 109  1297  1234567890ET                                                                                                                                                  =
 110  1309  1234567890ET                                                                                                                                                  =
