Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1980,1980,1980,2277.81,1980
2,2260,2222.61,2222.61,2498.33,2194.7
3,2470,2465.22,2465.22,2718.84,2409.39
4,2750,2707.83,2707.83,2939.36,2624.09
5,2990,2950.43,2950.43,3159.88,2838.79
6,3310,3193.04,3193.04,3380.39,3053.48
7,3550,3435.65,3435.65,3600.91,3268.18
8,3820,3678.26,3678.26,3821.43,3482.88
9,4120,3920.87,3920.87,4041.94,3697.57
10,4340,4163.48,4163.48,4262.46,3912.27
11,4520,4406.09,4406.09,4482.98,4126.97
12,4960,4648.7,4648.7,4703.49,4341.66
1,4600,4891.3,4891.3,4924.01,4556.36
2,5280,5133.91,5133.91,5144.52,4771.06
3,5490,5376.52,5376.52,5365.04,4985.75
4,5740,5619.13,5619.13,5585.56,5200.45
5,6000,5861.74,5861.74,5806.07,5415.15
6,6190,6104.35,6104.35,6026.59,5629.84
7,6350,6346.96,6346.96,6247.11,5844.54
8,6370,6589.57,6589.57,6467.62,6059.24
9,6740,6832.17,6832.17,6688.14,6273.93
10,6980,7074.78,7074.78,6908.66,6488.63
11,7160,7317.39,7317.39,7129.17,6703.33
12,7560,7560,7560,7349.69,6918.02
1,7870,7967.64,7993.63,7924.89,7347.42
2,8150,8184.91,8209.24,8145.41,7562.11
3,8360,8402.17,8424.84,8365.93,7776.81
4,8600,8619.43,8640.44,8586.44,7991.5
5,8810,8836.7,8856.05,8806.96,8206.2
6,9080,9053.96,9071.65,9027.48,8420.9
7,9280,9271.22,9287.26,9247.99,8635.59
8,9510,9488.48,9502.86,9468.51,8850.29
9,9770,9705.75,9718.46,9689.03,9064.99
10,9920,9923.01,9934.07,9909.54,9279.68
11,10060,10140.3,10149.7,10130.1,9494.38
12,10520,10357.5,10365.3,10350.6,9709.08
1,10400,10574.8,10580.9,10571.1,9923.77
2,10920,10792.1,10796.5,10791.6,10138.5
3,11030,11009.3,11012.1,11012.1,10353.2
4,11260,11226.6,11227.7,11232.6,10567.9
5,11480,11443.9,11443.3,11453.2,10782.6
6,11630,11661.1,11658.9,11673.7,10997.3
7,11820,11878.4,11874.5,11894.2,11212
8,12050,12095.6,12090.1,12114.7,11426.7
9,12280,12312.9,12305.7,12335.2,11641.3
10,12500,12530.2,12521.3,12555.7,11856
11,12760,12747.4,12736.9,12776.3,12070.7
12,13000,12964.7,12952.5,12996.8,12285.4
1,13460,13448.1,13426,13459.1,12714.8
2,13730,13663.6,13642.9,13674,12929.5
3,13890,13879.1,13859.8,13888.9,13144.2
4,14090,14094.6,14076.8,14103.9,13358.9
5,14280,14310.1,14293.7,14318.8,13573.6
6,14480,14525.7,14510.6,14533.7,13788.3
7,14700,14741.2,14727.6,14748.7,14003
8,14910,14956.7,14944.5,14963.6,14217.7
9,15160,15172.2,15161.4,15178.6,14432.4
10,15310,15387.7,15378.3,15393.5,14647.1
11,15560,15603.3,15595.3,15608.4,14861.8
12,15900,15818.8,15812.2,15823.4,15076.5
1,16220,16034.3,16029.1,16038.3,15291.2
2,16430,16249.8,16246.1,16253.2,15505.9
3,16550,16465.3,16463,16468.2,15720.6
4,16730,16680.9,16679.9,16683.1,15935.3
5,16930,16896.4,16896.8,16898.1,16150
6,17100,17111.9,17113.8,17113,16364.7
7,17220,17327.4,17330.7,17327.9,16579.4
8,17520,17543,17547.6,17542.9,16794.1
9,17720,17758.5,17764.6,17757.8,17008.8
10,17910,17974,17981.5,17972.7,17223.5
11,18100,18189.5,18198.4,18187.7,17438.2
12,18440,18405,18415.3,18402.6,17652.9
1,18790,18855.8,18849.6,18867.7,18082.2
2,19050,19068.2,19062.4,19078.9,18296.9
3,19260,19280.6,19275.1,19290.1,18511.6
4,19500,19493,19487.9,19501.3,18726.3
5,19680,19705.4,19700.7,19712.5,18941
6,19890,19917.7,19913.5,19923.7,19155.7
7,20130,20130.1,20126.3,20135,19370.4
8,20340,20342.5,20339,20346.2,19585.1
9,20620,20554.9,20551.8,20557.4,19799.8
10,20770,20767.3,20764.6,20768.6,20014.5
11,20950,20979.6,20977.4,20979.8,20229.2
12,21240,21192,21190.2,21191.1,20443.9
1,21440,21404.4,21402.9,21402.3,20658.6
2,21690,21616.8,21615.7,21613.5,20873.3
3,21860,21829.1,21828.5,21824.7,21088
4,22070,22041.5,22041.3,22035.9,21302.7
5,22290,22253.9,22254.1,22247.1,21517.4
6,22440,22466.3,22466.8,22458.4,21732.1
7,22640,22678.7,22679.6,22669.6,21946.8
8,22820,22891,22892.4,22880.8,22161.5
9,23070,23103.4,23105.2,23092,22376.2
10,23360,23315.8,23317.9,23303.2,22590.9
11,23480,23528.2,23530.7,23514.5,22805.6
12,23740,23740.6,23743.5,23725.7,23020.3
1,24070,24161.8,24151,24162.4,23449.7
2,24300,24372.9,24363.3,24372.6,23664.4
3,24520,24583.9,24575.6,24582.7,23879.1
4,24770,24794.9,24787.9,24792.9,24093.8
5,24960,25006,25000.2,25003,24308.4
6,25170,25217,25212.5,25213.2,24523.1
7,25410,25428,25424.8,25423.3,24737.8
8,25650,25639.1,25637.1,25633.5,24952.5
9,25870,25850.1,25849.5,25843.6,25167.2
10,26070,26061.1,26061.8,26053.8,25381.9
11,26210,26272.2,26274.1,26263.9,25596.6
12,26540,26483.2,26486.4,26474.1,25811.3
1,26810,26694.2,26698.7,26684.2,26026
2,27020,26905.3,26911,26894.4,26240.7
3,27100,27116.3,27123.3,27104.5,26455.4
4,27350,27327.3,27335.6,27314.7,26670.1
5,27540,27538.4,27547.9,27524.9,26884.8
6,27720,27749.4,27760.2,27735,27099.5
7,27940,27960.5,27972.5,27945.2,27314.2
