   1     1  12345678                                                                  
   2     9  12345678                                                                  =
   3    17  12345678                                                                  =
   4    25  12345678                                                                  =
   5    33  12345678                                                                  =
   6    41  12345678                                                                  =
   7    49  12345678                                                                  =
   8    57  12345678                                                                  =
   9    65  12345678                                                                  =
  10    73  12345678                                                                  =
  11    81  12345678                                                                  =
  12    89  12345678                                                                  =
  13    97  12345678                                                                  =
  14   105  12345678                                                                  =
  15   113  12345678                                                                  =
  16   121  12345678                                                                  =
  17   129  12345678                                                                  =
  18   137  12345678                                                                  =
  19   145  21436578                                                                  7
  20   153  24163758                                                                  1
  21   161  42617358                                                                  7
  22   169  46271538                                                                  1
  23   177  64725138                                                                  7
  24   185  67452318                                                                  1
  25   193  76543218                                                                  7
  26   201  75634128                                                                  1
  27   209  57361428                                                                  7
  28   217  53716248                                                                  1
  29   225  35172648                                                                  7
  30   233  31527468                                                                  1
  31   241  13254768                                                                  7
  32   249  12357468                                                                  47
  33   257  21534768                                                                  7
  34   265  25143678                                                                  1
  35   273  52416378                                                                  7
  36   281  54261738                                                                  1
  37   289  45627138                                                                  7
  38   297  46572318                                                                  1
  39   305  64753218                                                                  7
  40   313  67435128                                                                  1
  41   321  76341528                                                                  7
  42   329  73614258                                                                  1
  43   337  37162458                                                                  7
  44   345  31726548                                                                  1
  45   353  13275648                                                                  7
  46   361  13726548                                                                  27
  47   369  31275648                                                                  7
  48   377  32157468                                                                  1
  49   385  23514768                                                                  7
  50   393  25341678                                                                  1
  51   401  52436178                                                                  7
  52   409  54263718                                                                  1
  53   417  45627318                                                                  7
  54   425  46572138                                                                  1
  55   433  64751238                                                                  7
  56   441  67415328                                                                  1
  57   449  76143528                                                                  7
  58   457  71634258                                                                  1
  59   465  17362458                                                                  7
  60   473  17634258                                                                  27
  61   481  71362458                                                                  7
  62   489  73126548                                                                  1
  63   497  37215648                                                                  7
  64   505  32751468                                                                  1
  65   513  23574168                                                                  7
  66   521  25347618                                                                  1
  67   529  52436718                                                                  7
  68   537  54263178                                                                  1
  69   545  45621378                                                                  7
  70   553  46512738                                                                  1
  71   561  64157238                                                                  7
  72   569  61475328                                                                  1
  73   577  16743528                                                                  7
  74   585  17643528                                                                  4567
  75   593  71346528                                                                  ?(12)(35)
  76   601  74316258                                                                  ?(24)(67)
  77   609  47312658                                                                  347
  78   617  43721568                                                                  1
  79   625  34275168                                                                  7
  80   633  32457618                                                                  1
  81   641  23546718                                                                  7
  82   649  25364178                                                                  1
  83   657  52631478                                                                  7
  84   665  56213748                                                                  1
  85   673  65127348                                                                  7
  86   681  61572438                                                                  1
  87   689  16754238                                                                  7
  88   697  16572438                                                                  27
  89   705  61754238                                                                  7
