Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2287.89,1990
2,2230,2225.22,2225.22,2503.4,2195.56
3,2510,2460.43,2460.43,2718.91,2401.11
4,2720,2695.65,2695.65,2934.42,2606.67
5,2980,2930.87,2930.87,3149.93,2812.23
6,3210,3166.09,3166.09,3365.44,3017.78
7,3460,3401.3,3401.3,3580.95,3223.34
8,3700,3636.52,3636.52,3796.46,3428.9
9,3940,3871.74,3871.74,4011.97,3634.45
10,4220,4106.96,4106.96,4227.48,3840.01
11,4430,4342.17,4342.17,4442.99,4045.57
12,4740,4577.39,4577.39,4658.5,4251.13
1,5030,4812.61,4812.61,4874,4456.68
2,5260,5047.83,5047.83,5089.51,4662.24
3,5410,5283.04,5283.04,5305.02,4867.8
4,5710,5518.26,5518.26,5520.53,5073.35
5,5880,5753.48,5753.48,5736.04,5278.91
6,6080,5988.7,5988.7,5951.55,5484.47
7,6260,6223.91,6223.91,6167.06,5690.02
8,6410,6459.13,6459.13,6382.57,5895.58
9,6670,6694.35,6694.35,6598.08,6101.14
10,6960,6929.57,6929.57,6813.59,6306.69
11,7190,7164.78,7164.78,7029.1,6512.25
12,7400,7400,7400,7244.61,6717.81
1,7890,7875.87,7873.77,7842.89,7128.92
2,8120,8088.48,8086.51,8058.4,7334.48
3,8270,8301.09,8299.25,8273.91,7540.03
4,8490,8513.7,8511.99,8489.42,7745.59
5,8690,8726.3,8724.74,8704.93,7951.15
6,8950,8938.91,8937.48,8920.44,8156.71
7,9150,9151.52,9150.22,9135.95,8362.26
8,9340,9364.13,9362.96,9351.46,8567.82
9,9530,9576.74,9575.71,9566.97,8773.38
10,9730,9789.34,9788.45,9782.48,8978.93
11,9930,10002,10001.2,9997.99,9184.49
12,10210,10214.6,10213.9,10213.5,9390.05
1,10540,10427.2,10426.7,10429,9595.6
2,10730,10639.8,10639.4,10644.5,9801.16
3,10910,10852.4,10852.2,10860,10006.7
4,11150,11065,11064.9,11075.5,10212.3
5,11360,11277.6,11277.6,11291,10417.8
6,11540,11490.2,11490.4,11506.6,10623.4
7,11730,11702.8,11703.1,11722.1,10828.9
8,11880,11915.4,11915.9,11937.6,11034.5
9,12060,12128,12128.6,12153.1,11240.1
10,12270,12340.6,12341.4,12368.6,11445.6
11,12500,12553.2,12554.1,12584.1,11651.2
12,12740,12765.9,12766.8,12799.6,11856.7
1,13240,13216,13201.3,13196.4,12267.8
2,13440,13423.2,13409.4,13405.2,12473.4
3,13610,13630.4,13617.6,13613.9,12679
4,13820,13837.6,13825.7,13822.7,12884.5
5,14000,14044.8,14033.8,14031.4,13090.1
6,14270,14252,14242,14240.2,13295.6
7,14440,14459.2,14450.1,14448.9,13501.2
8,14640,14666.4,14658.3,14657.7,13706.7
9,14870,14873.6,14866.4,14866.4,13912.3
10,15040,15080.8,15074.5,15075.2,14117.9
11,15250,15288,15282.7,15284,14323.4
12,15520,15495.2,15490.8,15492.7,14529
1,15700,15702.4,15699,15701.5,14734.5
2,15930,15909.6,15907.1,15910.2,14940.1
3,16120,16116.8,16115.3,16119,15145.6
4,16370,16324,16323.4,16327.7,15351.2
5,16580,16531.2,16531.5,16536.5,15556.8
6,16770,16738.4,16739.7,16745.2,15762.3
7,16960,16945.6,16947.8,16954,15967.9
8,17150,17152.8,17156,17162.7,16173.4
9,17350,17360,17364.1,17371.5,16379
10,17520,17567.2,17572.2,17580.2,16584.5
11,17750,17774.4,17780.4,17789,16790.1
12,17990,17981.6,17988.5,17997.7,16995.6
1,18470,18439.1,18423.2,18435.8,17406.8
2,18660,18645.5,18630.6,18642.4,17612.3
3,18850,18851.8,18838,18849.1,17817.9
4,19020,19058.2,19045.3,19055.8,18023.4
5,19220,19264.6,19252.7,19262.5,18229
6,19470,19470.9,19460.1,19469.1,18434.5
7,19640,19677.3,19667.5,19675.8,18640.1
8,19890,19883.7,19874.9,19882.5,18845.7
9,20100,20090,20082.2,20089.1,19051.2
10,20290,20296.4,20289.6,20295.8,19256.8
11,20480,20502.8,20497,20502.5,19462.3
12,20690,20709.1,20704.4,20709.2,19667.9
1,20960,20915.5,20911.8,20915.8,19873.4
2,21190,21121.8,21119.1,21122.5,20079
3,21350,21328.2,21326.5,21329.2,20284.6
4,21540,21534.6,21533.9,21535.9,20490.1
5,21790,21740.9,21741.3,21742.5,20695.7
6,21970,21947.3,21948.7,21949.2,20901.2
7,22160,22153.7,22156,22155.9,21106.8
8,22360,22360,22363.4,22362.5,21312.3
9,22550,22566.4,22570.8,22569.2,21517.9
10,22720,22772.8,22778.2,22775.9,21723.5
11,22960,22979.1,22985.6,22982.6,21929
12,23170,23185.5,23192.9,23189.2,22134.6
1,23650,23629,23603,23620.1,22545.7
2,23850,23834.1,23810.2,23825.6,22751.2
3,24050,24039.2,24017.4,24031.2,22956.8
4,24250,24244.2,24224.6,24236.7,23162.4
5,24380,24449.3,24431.8,24442.2,23367.9
6,24630,24654.4,24639,24647.8,23573.5
7,24810,24859.4,24846.2,24853.3,23779
8,25020,25064.5,25053.4,25058.8,23984.6
9,25290,25269.6,25260.6,25264.4,24190.1
10,25440,25474.6,25467.8,25469.9,24395.7
11,25640,25679.7,25675,25675.4,24601.3
12,25900,25884.8,25882.2,25881,24806.8
1,26110,26089.8,26089.4,26086.5,25012.4
2,26310,26294.9,26296.6,26292.1,25217.9
3,26480,26500,26503.8,26497.6,25423.5
4,26730,26705,26711,26703.1,25629
5,26950,26910.1,26918.2,26908.7,25834.6
6,27150,27115.2,27125.4,27114.2,26040.2
7,27340,27320.2,27332.6,27319.7,26245.7
8,27550,27525.3,27539.8,27525.3,26451.3
9,27700,27730.4,27747,27730.8,26656.8
10,27910,27935.4,27954.2,27936.3,26862.4
11,28120,28140.5,28161.4,28141.9,27067.9
12,28350,28345.6,28368.6,28347.4,27273.5
1,28790,28787.8,28771.1,28785.1,27684.6
2,28980,28992.8,28977.9,28990,27890.2
3,29180,29197.9,29184.8,29195,28095.7
4,29350,29402.9,29391.6,29400,28301.3
5,29570,29608,29598.4,29604.9,28506.8
6,29830,29813,29805.3,29809.9,28712.4
7,30030,30018.1,30012.1,30014.8,28917.9
8,30210,30223.1,30218.9,30219.8,29123.5
9,30430,30428.2,30425.8,30424.7,29329.1
10,30590,30633.2,30632.6,30629.7,29534.6
11,30780,30838.3,30839.4,30834.6,29740.2
12,31040,31043.3,31046.3,31039.6,29945.7
1,31280,31248.4,31253.1,31244.6,30151.3
2,31490,31453.4,31460,31449.5,30356.8
3,31670,31658.4,31666.8,31654.5,30562.4
4,31900,31863.5,31873.6,31859.4,30768
5,32100,32068.5,32080.5,32064.4,30973.5
6,32310,32273.6,32287.3,32269.3,31179.1
7,32450,32478.6,32494.1,32474.3,31384.6
8,32700,32683.7,32701,32679.3,31590.2
9,32840,32888.7,32907.8,32884.2,31795.7
10,33080,33093.8,33114.6,33089.2,32001.3
11,33280,33298.8,33321.5,33294.1,32206.9
12,33530,33503.9,33528.3,33499.1,32412.4
1,33940,33941.7,33923.7,33931.9,32823.5
2,34120,34145.7,34129.9,34136.5,33029.1
3,34320,34349.7,34336.2,34341,33234.6
4,34540,34553.7,34542.5,34545.6,33440.2
5,34720,34757.8,34748.7,34750.1,33645.8
6,34970,34961.8,34955,34954.6,33851.3
7,35140,35165.8,35161.3,35159.2,34056.9
8,35360,35369.8,35367.5,35363.7,34262.4
9,35580,35573.9,35573.8,35568.3,34468
10,35760,35777.9,35780.1,35772.8,34673.5
11,35970,35981.9,35986.3,35977.4,34879.1
12,36190,36185.9,36192.6,36181.9,35084.7
1,36450,36390,36398.9,36386.4,35290.2
2,36620,36594,36605.1,36591,35495.8
3,36820,36798,36811.4,36795.5,35701.3
4,37010,37002.1,37017.7,37000.1,35906.9
5,37220,37206.1,37223.9,37204.6,36112.4
6,37410,37410.1,37430.2,37409.1,36318
7,37580,37614.1,37636.5,37613.7,36523.5
8,37820,37818.2,37842.7,37818.2,36729.1
9,37980,38022.2,38049,38022.8,36934.7
10,38220,38226.2,38255.3,38227.3,37140.2
11,38440,38430.2,38461.5,38431.8,37345.8
12,38640,38634.3,38667.8,38636.4,37551.3
1,39090,39073.7,39065,39072.4,37962.4
2,39270,39278.1,39270.8,39276.7,38168
3,39450,39482.6,39476.7,39481,38373.6
4,39650,39687,39682.5,39685.3,38579.1
5,39860,39891.4,39888.3,39889.5,38784.7
6,40100,40095.9,40094.1,40093.8,38990.2
7,40260,40300.3,40299.9,40298.1,39195.8
8,40470,40504.8,40505.8,40502.4,39401.3
9,40680,40709.2,40711.6,40706.7,39606.9
10,40890,40913.6,40917.4,40911,39812.5
11,41060,41118.1,41123.2,41115.2,40018
12,41280,41322.5,41329,41319.5,40223.6
1,41630,41527,41534.9,41523.8,40429.1
2,41810,41731.4,41740.7,41728.1,40634.7
3,41990,41935.8,41946.5,41932.4,40840.2
4,42220,42140.3,42152.3,42136.7,41045.8
5,42380,42344.7,42358.1,42340.9,41251.4
6,42570,42549.1,42563.9,42545.2,41456.9
7,42750,42753.6,42769.8,42749.5,41662.5
8,42950,42958,42975.6,42953.8,41868
9,43110,43162.5,43181.4,43158.1,42073.6
10,43340,43366.9,43387.2,43362.4,42279.1
11,43540,43571.3,43593,43566.6,42484.7
12,43770,43775.8,43798.9,43770.9,42690.3
1,44210,44211.5,44197.1,44205.3,43101.4
2,44410,44415.2,44402.5,44409.2,43306.9
3,44610,44618.9,44607.9,44613.2,43512.5
4,44790,44822.5,44813.3,44817.2,43718
5,45030,45026.2,45018.7,45021.1,43923.6
6,45240,45229.9,45224.1,45225.1,44129.2
7,45440,45433.6,45429.5,45429,44334.7
8,45640,45637.2,45634.9,45633,44540.3
9,45810,45840.9,45840.3,45837,44745.8
10,46010,46044.6,46045.7,46040.9,44951.4
11,46200,46248.3,46251.1,46244.9,45156.9
12,46450,46451.9,46456.5,46448.9,45362.5
1,46680,46655.6,46661.9,46652.8,45568.1
2,46870,46859.3,46867.3,46856.8,45773.6
3,47070,47063,47072.7,47060.7,45979.2
4,47280,47266.6,47278.1,47264.7,46184.7
5,47480,47470.3,47483.6,47468.7,46390.3
6,47700,47674,47689,47672.6,46595.8
7,47860,47877.7,47894.4,47876.6,46801.4
8,48090,48081.3,48099.8,48080.5,47006.9
9,48280,48285,48305.2,48284.5,47212.5
10,48470,48488.7,48510.6,48488.5,47418.1
11,48690,48692.4,48716,48692.4,47623.6
12,48910,48896,48921.4,48896.4,47829.2
1,49350,49330,49321.1,49317.8,48240.3
2,49530,49534,49526.2,49522.5,48445.8
3,49730,49737.9,49731.3,49727.2,48651.4
4,49920,49941.8,49936.4,49931.9,48857
5,50100,50145.8,50141.5,50136.7,49062.5
6,50320,50349.7,50346.6,50341.4,49268.1
7,50540,50553.7,50551.6,50546.1,49473.6
8,50740,50757.6,50756.7,50750.8,49679.2
9,50960,50961.5,50961.8,50955.6,49884.7
10,51130,51165.5,51166.9,51160.3,50090.3
11,51330,51369.4,51372,51365,50295.9
12,51580,51573.4,51577.1,51569.7,50501.4
1,51770,51777.3,51782.1,51774.4,50707
2,52010,51981.2,51987.2,51979.2,50912.5
3,52210,52185.2,52192.3,52183.9,51118.1
4,52440,52389.1,52397.4,52388.6,51323.6
5,52630,52593.1,52602.5,52593.3,51529.2
6,52800,52797,52807.6,52798.1,51734.8
7,53020,53000.9,53012.6,53002.8,51940.3
8,53230,53204.9,53217.7,53207.5,52145.9
9,53400,53408.8,53422.8,53412.2,52351.4
10,53550,53612.8,53627.9,53617,52557
11,53790,53816.7,53833,53821.7,52762.5
12,54050,54020.6,54038.1,54026.4,52968.1
2,54480,54466.7,54464.7,54474.5,53379.2
1,54640,54673,54670.3,54680.1,53584.8
3,54860,54879.3,54875.9,54885.8,53790.3
5,55100,55085.6,55081.5,55091.5,53995.9
4,55320,55291.9,55287.1,55297.1,54201.4
7,55480,55498.2,55492.7,55502.8,54407
6,55730,55704.5,55698.3,55708.5,54612.6
9,55890,55910.8,55903.9,55914.1,54818.1
8,56150,56117.2,56109.5,56119.8,55023.7
11,56320,56323.5,56315.1,56325.4,55229.2
10,56460,56529.8,56520.7,56531.1,55434.8
12,56720,56736.1,56726.2,56736.8,55640.3
2,56950,56942.4,56931.8,56942.4,55845.9
3,57130,57148.7,57137.4,57148.1,56051.5
