   1     1  1234567890ET                                                                                                                                                  
   2    13  1234567890ET                                                                                                                                                  =
   3    25  1234567890ET                                                                                                                                                  =
   4    37  1234567890ET                                                                                                                                                  =
   5    49  1234567890ET                                                                                                                                                  =
   6    61  1234567890ET                                                                                                                                                  =
   7    73  1234567890ET                                                                                                                                                  =
   8    85  1234567890ET                                                                                                                                                  =
   9    97  1234567890ET                                                                                                                                                  =
  10   109  1234567890ET                                                                                                                                                  =
  11   121  1234567890ET                                                                                                                                                  =
  12   133  1234567890ET                                                                                                                                                  =
  13   145  1234567890ET                                                                                                                                                  =
  14   157  1234567890ET                                                                                                                                                  =
  15   169  1234567890ET                                                                                                                                                  =
  16   181  1234567890ET                                                                                                                                                  =
  17   193  1234567890ET                                                                                                                                                  =
  18   205  1234567890ET                                                                                                                                                  =
  19   217  1234567890ET                                                                                                                                                  =
  20   229  1234567890ET                                                                                                                                                  =
  21   241  213547698E0T                                                                                                                                                  3
  22   253  2314567890ET                                                                                                                                                  1
  23   265  324165879E0T                                                                                                                                                  9
  24   277  2346185970ET                                                                                                                                                  3
  25   289  243165879E0T                                                                                                                                                  1
  26   301  4236185970ET                                                                                                                                                  3
  27   313  432165879E0T                                                                                                                                                  1
  28   325  3426185970ET                                                                                                                                                  3
  29   337  4362819507ET                                                                                                                                                  E
  30   349  463829105E7T                                                                                                                                                  1
  31   361  6432819507ET                                                                                                                                                  3
  32   373  634829105E7T                                                                                                                                                  1
  33   385  3642819507ET                                                                                                                                                  3
  34   397  346829105E7T                                                                                                                                                  1
  35   409  4386920157ET                                                                                                                                                  9
  36   421  348960251E7T                                                                                                                                                  3
  37   433  3846920157ET                                                                                                                                                  1
  38   445  834960251E7T                                                                                                                                                  3
  39   457  8436920157ET                                                                                                                                                  1
  40   469  483960251E7T                                                                                                                                                  3
  41   481  84930652E17T                                                                                                                                                  E
  42   493  8940356E271T                                                                                                                                                  1
  43   505  98430652E17T                                                                                                                                                  3
  44   517  9480356E271T                                                                                                                                                  1
  45   529  49830652E17T                                                                                                                                                  3
  46   541  4890356E271T                                                                                                                                                  1
  47   553  840953E6721T                                                                                                                                                  E
  48   565  48059E37612T                                                                                                                                                  3
  49   577  408953E6721T                                                                                                                                                  1
  50   589  04859E37612T                                                                                                                                                  3
  51   601  084953E6721T                                                                                                                                                  1
  52   613  80459E37612T                                                                                                                                                  3
  53   625  0854E973162T                                                                                                                                                  E
  54   637  058E4791326T                                                                                                                                                  1
  55   649  5084E973162T                                                                                                                                                  3
  56   661  580E4791326T                                                                                                                                                  1
  57   673  8504E973162T                                                                                                                                                  3
  58   685  805E4791326T                                                                                                                                                  1
  59   697  08E57419236T                                                                                                                                                  E
  60   709  80E75142963T                                                                                                                                                  3
  61   721  8E057419236T                                                                                                                                                  1
  62   733  E8075142963T                                                                                                                                                  3
  63   745  E0857419236T                                                                                                                                                  1
  64   757  0E875142963T                                                                                                                                                  3
  65   769  E0781524693T                                                                                                                                                  E
  66   781  E7018256439T                                                                                                                                                  1
  67   793  7E081524693T                                                                                                                                                  3
  68   805  70E18256439T                                                                                                                                                  1
  69   817  07E81524693T                                                                                                                                                  3
  70   829  0E718256439T                                                                                                                                                  1
  71   841  E0172865349T                                                                                                                                                  E
  72   853  0E127683594T                                                                                                                                                  3
  73   865  01E72865349T                                                                                                                                                  1
  74   877  10E27683594T                                                                                                                                                  3
  75   889  1E072865349T                                                                                                                                                  1
  76   901  E1027683594T                                                                                                                                                  3
  77   913  1E206738954T                                                                                                                                                  E
  78   925  12E60379845T                                                                                                                                                  1
  79   937  21E06738954T                                                                                                                                                  3
  80   949  2E160379845T                                                                                                                                                  1
  81   961  E2106738954T                                                                                                                                                  3
  82   973  E1260379845T                                                                                                                                                  1
  83   985  1E623097485T                                                                                                                                                  E
  84   997  E1632904758T                                                                                                                                                  3
  85  1009  E6123097485T                                                                                                                                                  1
  86  1021  6E132904758T                                                                                                                                                  3
  87  1033  61E23097485T                                                                                                                                                  1
  88  1045  16E32904758T                                                                                                                                                  3
  89  1057  613E9240578T                                                                                                                                                  E
  90  1069  6319E425087T                                                                                                                                                  1
  91  1081  361E9240578T                                                                                                                                                  3
  92  1093  3169E425087T                                                                                                                                                  1
  93  1105  136E9240578T                                                                                                                                                  3
  94  1117  1639E425087T                                                                                                                                                  1
  95  1129  61934E52807T                                                                                                                                                  E
  96  1141  169435E8270T                                                                                                                                                  3
  97  1153  19634E52807T                                                                                                                                                  1
  98  1165  916435E8270T                                                                                                                                                  3
  99  1177  96134E52807T                                                                                                                                                  1
 100  1189  691435E8270T                                                                                                                                                  3
 101  1201  9641538E207T                                                                                                                                                  9
 102  1213  94651832E70T                                                                                                                                                  1
 103  1225  4961538E207T                                                                                                                                                  3
 104  1237  46951832E70T                                                                                                                                                  1
 105  1249  6491538E207T                                                                                                                                                  3
 106  1261  69451832E70T                                                                                                                                                  1
 107  1273  965481237E0T                                                                                                                                                  E
 108  1285  6958421703ET                                                                                                                                                  ?
 109  1297  659481237E0T                                                                                                                                                  ?
 110  1309  5698421730ET                                                                                                                                                  3
 111  1321  596481237E0T                                                                                                                                                  1
 112  1333  9568421730ET                                                                                                                                                  3
 113  1345  5986247103ET                                                                                                                                                  E
 114  1357  589267401E3T                                                                                                                                                  1
 115  1369  8596247103ET                                                                                                                                                  3
 116  1381  895267401E3T                                                                                                                                                  1
 117  1393  9856247103ET                                                                                                                                                  3
 118  1405  958267401E3T                                                                                                                                                  1
 119  1417  5928760413ET                                                                                                                                                  9
 120  1429  952780614E3T                                                                                                                                                  3
 121  1441  9258760413ET                                                                                                                                                  1
 122  1453  295780614E3T                                                                                                                                                  3
 123  1465  2598760413ET                                                                                                                                                  1
 124  1477  529780614E3T                                                                                                                                                  3
 125  1489  25790816E43T                                                                                                                                                  E
 126  1501  2750918E634T                                                                                                                                                  1
 127  1513  72590816E43T                                                                                                                                                  3
 128  1525  7520918E634T                                                                                                                                                  1
 129  1537  57290816E43T                                                                                                                                                  3
 130  1549  5270918E634T                                                                                                                                                  1
 131  1561  250719E8364T                                                                                                                                                  E
 132  1573  52017E93846T                                                                                                                                                  3
 133  1585  502719E8364T                                                                                                                                                  1
 134  1597  05217E93846T                                                                                                                                                  3
 135  1609  025719E8364T                                                                                                                                                  1
 136  1621  20517E93846T                                                                                                                                                  3
 137  1633  0215E739486T                                                                                                                                                  E
 138  1645  012E5374968T                                                                                                                                                  1
 139  1657  1025E739486T                                                                                                                                                  3
 140  1669  120E5374968T                                                                                                                                                  1
 141  1681  2105E739486T                                                                                                                                                  3
 142  1693  201E5374968T                                                                                                                                                  1
